timestamp,nt_circular,tai_lam,period,slot
2025-01-31 23:00:00,3605,179,before,na
2025-02-01 00:00:00,25117,1143,before,na
2025-02-01 01:00:00,16025,731,before,na
2025-02-01 02:00:00,13324,535,before,na
2025-02-01 03:00:00,12472,598,before,na
2025-02-01 04:00:00,9240,415,before,na
2025-02-01 05:00:00,12363,531,before,na
2025-02-01 06:00:00,16787,755,before,na
2025-02-01 07:00:00,18364,845,before,na
2025-02-01 08:00:00,27867,1206,before,peak
2025-02-01 09:00:00,33064,1664,before,peak
2025-02-01 10:00:00,47493,2326,before,na
2025-02-01 11:00:00,38072,1817,before,na
2025-02-01 12:00:00,44289,2117,before,na
2025-02-01 13:00:00,57450,2589,before,na
2025-02-01 14:00:00,45960,1835,before,na
2025-02-01 15:00:00,43869,1791,before,na
2025-02-01 16:00:00,52058,2364,before,na
2025-02-01 17:00:00,53313,2379,before,na
2025-02-01 18:00:00,49120,2055,before,peak
2025-02-01 19:00:00,29955,1323,before,peak
2025-02-01 20:00:00,32410,1356,before,na
2025-02-01 21:00:00,45514,1966,before,na
2025-02-01 22:00:00,40789,1803,before,na
2025-02-01 23:00:00,39107,1750,before,na
2025-02-02 00:00:00,20531,890,before,na
2025-02-02 01:00:00,15620,687,before,na
2025-02-02 02:00:00,13158,549,before,na
2025-02-02 03:00:00,11817,510,before,na
2025-02-02 04:00:00,10372,371,before,na
2025-02-02 05:00:00,11497,375,before,na
2025-02-02 06:00:00,14169,592,before,na
2025-02-02 07:00:00,18207,750,before,na
2025-02-02 08:00:00,24431,1128,before,peak
2025-02-02 09:00:00,25527,1108,before,peak
2025-02-02 10:00:00,22686,1089,before,na
2025-02-02 11:00:00,39089,1794,before,na
2025-02-02 12:00:00,43342,2111,before,na
2025-02-02 13:00:00,28914,1297,before,na
2025-02-02 14:00:00,28450,1219,before,na
2025-02-02 15:00:00,41985,1722,before,na
2025-02-02 16:00:00,43085,1734,before,na
2025-02-02 17:00:00,42342,1887,before,na
2025-02-02 18:00:00,43357,1692,before,peak
2025-02-02 19:00:00,30103,1120,before,peak
2025-02-02 20:00:00,43406,1857,before,na
2025-02-02 21:00:00,57821,2418,before,na
2025-02-02 22:00:00,46354,2034,before,na
2025-02-02 23:00:00,35548,1500,before,na
2025-02-03 00:00:00,21182,953,before,na
2025-02-03 01:00:00,13434,573,before,na
2025-02-03 02:00:00,10222,448,before,na
2025-02-03 03:00:00,5837,236,before,na
2025-02-03 04:00:00,6665,255,before,na
2025-02-03 05:00:00,9931,366,before,na
2025-02-03 06:00:00,28231,877,before,na
2025-02-03 07:00:00,49008,2342,before,na
2025-02-03 08:00:00,55124,2176,before,peak
2025-02-03 09:00:00,58986,2922,before,peak
2025-02-03 10:00:00,69908,3145,before,na
2025-02-03 11:00:00,62225,2907,before,na
2025-02-03 12:00:00,47643,1973,before,na
2025-02-03 13:00:00,55464,2296,before,na
2025-02-03 14:00:00,60094,2359,before,na
2025-02-03 15:00:00,73387,3171,before,na
2025-02-03 16:00:00,65851,2442,before,na
